Data,IBOV,IBOVAnt
19/01/2022 11:14:27,108267.93,106667.66
19/01/2022 11:14:48,108233.61,106667.66
19/01/2022 11:15:09,108244.42,106667.66
19/01/2022 11:21:29,108224.22,106667.66
19/01/2022 11:21:50,108180.59,106667.66
19/01/2022 11:22:10,108163.15,106667.66
19/01/2022 11:22:30,108163.15,106667.66
19/01/2022 11:22:50,108167.39,106667.66
19/01/2022 11:23:11,108187.69,106667.66
19/01/2022 11:23:31,108175.92,106667.66
19/01/2022 11:23:52,108175.92,106667.66
19/01/2022 11:24:13,108165.88,106667.66
19/01/2022 11:24:33,108153.53,106667.66
19/01/2022 11:24:54,108153.53,106667.66
19/01/2022 11:25:14,108185.43,106667.66
19/01/2022 11:25:35,108158.69,106667.66
19/01/2022 11:25:55,108158.69,106667.66
19/01/2022 11:26:16,108187.12,106667.66
19/01/2022 11:26:36,108139.04,106667.66
19/01/2022 11:26:57,108139.04,106667.66
19/01/2022 11:27:18,108101.27,106667.66
19/01/2022 11:27:38,108121.23,106667.66
19/01/2022 11:27:59,108121.23,106667.66
19/01/2022 11:28:19,108115.52,106667.66
19/01/2022 11:28:40,108122.27,106667.66
19/01/2022 11:29:00,108134.69,106667.66
19/01/2022 11:29:21,108134.69,106667.66
19/01/2022 11:29:41,108123.52,106667.66
19/01/2022 11:30:02,108123.52,106667.66
19/01/2022 11:30:22,108113.89,106667.66
19/01/2022 11:30:43,108101.66,106667.66
19/01/2022 11:31:03,108101.66,106667.66
19/01/2022 11:31:23,108085.83,106667.66
19/01/2022 11:31:44,108086.18,106667.66
19/01/2022 11:32:04,108080.42,106667.66
19/01/2022 11:32:25,108080.42,106667.66
19/01/2022 11:32:45,108063.81,106667.66
19/01/2022 11:33:06,108080.59,106667.66
19/01/2022 11:33:26,108080.59,106667.66
19/01/2022 11:33:46,108122.52,106667.66
19/01/2022 11:34:07,108106.36,106667.66
19/01/2022 11:34:28,108106.36,106667.66
19/01/2022 11:34:48,108124.62,106667.66
19/01/2022 11:35:09,108162.00,106667.66
19/01/2022 11:35:30,108162.00,106667.66
19/01/2022 11:35:50,108160.73,106667.66
19/01/2022 11:36:11,108142.70,106667.66
19/01/2022 11:36:32,108199.44,106667.66
19/01/2022 11:36:52,108199.44,106667.66
19/01/2022 11:37:13,108222.19,106667.66
19/01/2022 11:37:33,108207.18,106667.66
19/01/2022 11:37:53,108207.18,106667.66
19/01/2022 11:38:14,108220.07,106667.66
19/01/2022 11:38:34,108332.13,106667.66
19/01/2022 11:38:55,108332.13,106667.66
19/01/2022 11:39:15,108372.66,106667.66
19/01/2022 11:39:36,108399.08,106667.66
19/01/2022 11:39:56,108399.08,106667.66
19/01/2022 11:40:17,108389.08,106667.66
19/01/2022 11:40:38,108337.65,106667.66
19/01/2022 11:40:58,108337.65,106667.66
19/01/2022 11:41:19,108307.63,106667.66
19/01/2022 11:41:39,108233.28,106667.66
19/01/2022 11:42:00,108233.28,106667.66
19/01/2022 11:42:20,108274.14,106667.66
19/01/2022 11:42:41,108327.27,106667.66
19/01/2022 11:43:01,108327.27,106667.66
19/01/2022 11:43:22,108357.67,106667.66
19/01/2022 11:43:42,108370.39,106667.66
19/01/2022 11:44:02,108370.39,106667.66
19/01/2022 11:44:23,108376.81,106667.66
19/01/2022 11:44:43,108483.78,106667.66
19/01/2022 11:45:03,108450.38,106667.66
19/01/2022 11:45:24,108450.38,106667.66
19/01/2022 11:45:45,108456.17,106667.66
19/01/2022 11:46:05,108407.70,106667.66
19/01/2022 11:46:25,108407.70,106667.66
19/01/2022 11:46:46,108405.66,106667.66
19/01/2022 11:47:07,108419.61,106667.66
19/01/2022 11:47:27,108419.61,106667.66
19/01/2022 11:47:48,108571.17,106667.66
19/01/2022 11:48:08,108406.83,106667.66
19/01/2022 11:48:29,108406.83,106667.66
19/01/2022 11:48:49,108426.60,106667.66
19/01/2022 11:49:09,108445.09,106667.66
19/01/2022 11:49:30,108445.09,106667.66
19/01/2022 11:49:50,108437.81,106667.66
